X,Y,dow
530310,7195590,5.0
487261,7275625,5.0
478428,7308919,5.0
470523,7318657,5.0
469102,7322401,5.0
462029,7348510,5.0
444484,7374837,5.0
429974,7411192,5.0
417092,7437533,5.0
411483,7451442,5.0
411156,7493693,5.0
411155,7506399,5.0
408980,7511744,5.0
384872,7492259,5.0
444468,7378217,5.0
470809,7365668,5.0
511151,7399741,5.0
544159,7397128,5.0
571863,7413234,5.0
575255,7416500,5.0
383479,7111728,5.0
384953,7113005,5.0
400979,7134777,5.0
401623,7135399,5.0
404307,7144413,5.0
415512,7166295,5.0
422047,7182295,5.0
382297,7170649,5.0
448944,7117694,5.0
484274,7090746,5.0
497938,7072858,5.0
502027,7060877,5.0
505840,7057261,5.0
506257,7057186,5.0
461259,7699374,5.0
384555,6676464,5.0
384726,6676398,5.0
384760,6676384,5.0
379469,6672785,5.0
378911,6676207,5.0
378917,6676232,5.0
380348,6678975,5.0
380584,6679006,5.0
382645,6679414,5.0
382714,6679410,5.0
382992,6679397,5.0
383190,6679406,5.0
383351,6679407,5.0
384173,6679688,5.0
384198,6679704,5.0
384664,6679883,5.0
385563,6680120,5.0
385662,6680135,5.0
385748,6680136,5.0
386182,6680271,5.0
386816,6680406,5.0
386838,6680403,5.0
387827,6680213,5.0
388552,6680062,5.0
392076,6678777,5.0
392139,6678728,5.0
392405,6678593,5.0
392576,6678529,5.0
392754,6678492,5.0
392792,6678482,5.0
393000,6678425,5.0
393177,6678362,5.0
393606,6678004,5.0
393717,6677738,5.0
393720,6677686,5.0
393700,6677687,5.0
393796,6677289,5.0
393987,6676665,5.0
394014,6676588,5.0
375296,6672089,5.0
375329,6672471,5.0
375474,6672994,5.0
375174,6674123,5.0
375162,6674429,5.0
397053,6680512,5.0
307486,6668091,5.0
308782,6672923,5.0
376509,6678672,5.0
366384,6680794,5.0
347206,6689466,5.0
342471,6696124,5.0
341017,6696262,5.0
333263,6697775,5.0
332477,6697616,5.0
311435,6698655,5.0
304550,6698094,5.0
297689,6698287,5.0
297541,6698342,5.0
286888,6701487,5.0
256541,6707949,5.0
253992,6707044,5.0
242224,6707713,5.0
310714,6667164,5.0
310278,6667289,5.0
309814,6667576,5.0
309074,6667932,5.0
307660,6667586,5.0
302792,6666744,5.0
299342,6666157,5.0
375472,6676587,5.0
382212,6678630,5.0
382072,6678789,5.0
381822,6679082,5.0
381468,6679546,5.0
381363,6679684,5.0
381212,6679882,5.0
381038,6680086,5.0
379597,6681714,5.0
378588,6683765,5.0
363329,6696100,5.0
359998,6698938,5.0
341106,6708528,5.0
333467,6707733,5.0
378972,6694447,5.0
380444,6701588,5.0
380914,6704896,5.0
380258,6723304,5.0
376161,6736582,5.0
375605,6738177,5.0
375015,6739315,5.0
372400,6743351,5.0
351680,6770262,5.0
346911,6776694,5.0
340618,6785257,5.0
341851,6787456,5.0
337534,6797018,5.0
330161,6807077,5.0
328053,6807702,5.0
377097,6694863,5.0
376757,6695049,5.0
376259,6695669,5.0
375091,6698205,5.0
371513,6706547,5.0
368058,6711506,5.0
367392,6711986,5.0
362462,6728523,5.0
362343,6730353,5.0
350431,6712889,5.0
358495,6721995,5.0
358719,6721945,5.0
387203,6686102,5.0
388109,6687154,5.0
385914,6697953,5.0
394628,6683542,5.0
395759,6688184,5.0
396870,6698231,5.0
412521,6731545,5.0
