Cluster,X,Y,Day
2,238000.0,7012946.0,5.0
2,244703.0,7013753.0,5.0
2,245222.0,7013616.0,5.0
2,246818.0,7013173.0,5.0
2,249569.0,7013668.0,5.0
2,259543.0,7018810.0,5.0
2,262899.0,7022162.0,5.0
2,275584.0,7039458.0,5.0
2,278886.0,7042598.0,5.0
2,287147.0,7054564.0,5.0
2,289785.0,7059030.0,5.0
2,296169.0,7063678.0,5.0
2,300358.0,7069206.0,5.0
2,302133.0,7071516.0,5.0
2,303520.0,7073764.0,5.0
2,303885.0,7074802.0,5.0
2,304202.0,7076068.0,5.0
2,309743.0,7083968.0,5.0
2,309766.0,7083978.0,5.0
2,310471.0,7083884.0,5.0
2,312791.0,7085760.0,5.0
2,313289.0,7085913.0,5.0
2,320246.0,7087161.0,5.0
2,320280.0,7087201.0,5.0
2,326123.0,7095351.0,5.0
0,330639.0,7102280.0,5.0
0,336483.0,7107781.0,5.0
0,338608.0,7115373.0,5.0
0,350405.0,7128674.0,5.0
0,357664.0,7143699.0,5.0
0,367488.0,7150556.0,5.0
0,370182.0,7153827.0,5.0
0,382923.0,7175656.0,5.0
0,404575.0,7179007.0,5.0
0,415240.0,7183471.0,5.0
2,221479.0,6853350.0,5.0
2,242559.0,6719710.0,5.0
2,244449.0,6720981.0,5.0
2,250832.0,6724989.0,5.0
2,252856.0,6726756.0,5.0
2,256273.0,6730031.0,5.0
2,255027.0,6728671.0,5.0
2,255694.0,6729295.0,5.0
2,256715.0,6730821.0,5.0
2,257524.0,6731777.0,5.0
2,260257.0,6732817.0,5.0
2,264904.0,6736254.0,5.0
2,269187.0,6738399.0,5.0
2,275192.0,6745215.0,5.0
2,275439.0,6745410.0,5.0
2,279116.0,6748548.0,5.0
2,282078.0,6750579.0,5.0
2,292792.0,6759129.0,5.0
2,293371.0,6759409.0,5.0
2,308822.0,6767648.0,5.0
2,312255.0,6774994.0,5.0
2,318882.0,6779922.0,5.0
2,329827.0,6789417.0,5.0
2,336519.0,6824780.0,5.0
2,342554.0,6826893.0,5.0
2,344624.0,6827617.0,5.0
2,351350.0,6837007.0,5.0
2,355881.0,6840220.0,5.0
2,359623.0,6841871.0,5.0
2,365297.0,6844122.0,5.0
2,394283.0,6854526.0,5.0
2,395526.0,6855476.0,5.0
2,401098.0,6857600.0,5.0
2,402681.0,6858529.0,5.0
0,409684.0,6862760.0,5.0
0,410827.0,6864168.0,5.0
0,417563.0,6873994.0,5.0
0,422082.0,6875126.0,5.0
0,427141.0,6882978.0,5.0
0,427458.0,6884387.0,5.0
0,427477.0,6884440.0,5.0
0,427986.0,6885097.0,5.0
0,429956.0,6888322.0,5.0
0,430699.0,6890562.0,5.0
0,430927.0,6891398.0,5.0
0,431190.0,6892787.0,5.0
0,431244.0,6894435.0,5.0
0,431275.0,6894662.0,5.0
0,431567.0,6895336.0,5.0
0,433778.0,6899881.0,5.0
0,434784.0,6901111.0,5.0
0,442863.0,6900311.0,5.0
0,457817.0,6902400.0,5.0
0,468741.0,6906613.0,5.0
0,523548.0,6951042.0,5.0
0,532707.0,6972819.0,5.0
0,546166.0,6979223.0,5.0
0,562089.0,6974580.0,5.0
0,605540.0,6954240.0,5.0
