X,Y,prediction
437584,6901552,0
437275,6901488,0
437115,6901549,0
436419,6902184,0
436131,6902366,0
436119,6902375,0
436150,6902523,0
436160,6902654,0
436147,6902879,0
435286,6903629,0
434159,6904526,0
434150,6904594,0
433675,6906985,0
433629,6907144,0
433307,6908509,0
433286,6908706,0
433276,6908763,0
433134,6910434,0
433134,6910436,0
433051,6911283,0
432983,6911984,0
432973,6912095,0
432904,6912809,0
432904,6912810,0
432867,6913204,0
432849,6913392,1
432844,6913442,1
432842,6913460,1
432842,6913463,1
432766,6914253,1
432754,6914373,1
432722,6914711,1
432696,6914983,1
432809,6916172,1
432924,6917049,1
432978,6917244,1
433134,6918007,1
433118,6918286,1
433001,6918890,1
432735,6920142,1
432634,6920592,1
432436,6922608,1
432394,6922824,1
432149,6923803,1
432056,6924065,1
431909,6924471,1
431618,6925292,1
431473,6925999,1
431853,6929278,1
432207,6930679,1
432426,6931672,1
432419,6932410,1
432339,6933043,1
432229,6933997,1
432175,6934496,1
432009,6935839,1
431901,6936791,1
431711,6938416,1
431818,6938718,1
432159,6939053,1
432300,6939186,1
432807,6941604,1
433160,6942054,1
432531,6944807,1
433610,6946573,1
433716,6946710,1
434064,6947110,1
434180,6947257,1
434260,6947359,1
434630,6947830,1
435546,6948984,1
436235,6949908,1
436832,6952273,1
437221,6957122,1
437438,6958565,1
437481,6958847,1
437713,6960416,1
438255,6962383,1
439655,6967475,1
439671,6974025,1
439674,6974048,1
439743,6974575,1
439853,6975413,1
439880,6975615,1
439882,6975631,1
439530,6978239,1
440183,6980474,1
440362,6985240,1
440382,6985385,1
440501,6986318,1
439897,6990519,1
440460,6991284,1
440761,6991964,1
442649,6994474,1
442715,6995000,1
441867,6996798,1
440849,6997764,1
440828,6997784,1
440474,6998109,1
438537,6999988,1
437950,7001205,1
437875,7001602,1
437605,7003558,1
437430,7004019,1
436953,7004921,1
434390,7008312,1
433674,7009389,1
432779,7012113,1
431691,7018336,1
431707,7019287,1
431111,7020571,1
430293,7023778,1
430281,7023901,1
429895,7025683,1
429555,7028377,1
429678,7028498,1
431835,7029899,1
432224,7032999,1
432193,7033323,1
432360,7034607,1
432201,7037448,1
432953,7039772,1
433247,7040320,1
433452,7040620,1
433979,7041235,1
437359,7044956,1
437746,7045893,1
441673,7057788,1
446299,7064486,1
447801,7069319,1
447997,7069778,1
447939,7070771,1
447752,7072413,1
445186,7077906,1
443903,7079433,1
441356,7084414,1
442049,7090694,1
441624,7091705,1
440289,7093411,1
439997,7093842,1
439399,7094766,1
439107,7097498,1
439186,7098201,1
441405,7105340,1
441584,7109093,1
441622,7110250,1
441578,7112250,1
441569,7112572,1
441550,7113174,1
443205,7121726,1
443341,7122025,1
444350,7124853,1
444428,7125027,1
445394,7129278,1
444741,7131134,1
445284,7134566,1
445465,7135149,1
445882,7136104,1
440903,7146380,1
438646,7149614,1
437946,7150618,1
436284,7157556,1
436761,7159570,1
436778,7160916,1
436719,7161730,1
436666,7162366,1
436481,7162941,1
435230,7167159,1
435227,7167207,1
435032,7168780,1
433362,7172150,1
433163,7174019,1
431832,7179559,1
431838,7179791,1
431177,7181629,1
428338,7188357,1
429025,7190272,1
429052,7190353,1
429123,7191198,1
429105,7191525,1
429817,7194293,1
430723,7198755,1
430806,7200750,1
430806,7200750,1
430984,7201880,1
430708,7203296,1
430615,7203456,1
430228,7204223,1
429988,7204708,1
429996,7204743,1
429714,7206560,1
429542,7207422,1
429507,7208676,1
429531,7208717,1
429520,7208772,1
429545,7208951,1
429562,7209074,1
429579,7209188,1
429587,7209248,1
429633,7209566,1
429630,7209707,1
429616,7209894,1
429625,7210842,1
429672,7211079,1
429682,7211149,1
429688,7211199,1
429712,7211782,1
429730,7211828,1
429722,7212058,1
429668,7212218,1
429664,7212272,1
428789,7213193,1
428642,7213369,1
428635,7213401,1
428354,7213673,1
428165,7213855,1
428086,7213933,1
427710,7214408,1
427328,7214999,1
426721,7216957,1
426732,7218046,1
426748,7218244,1
426604,7219270,1
426433,7219946,1
426426,7220103,1
426298,7220576,1
426202,7221785,1
426389,7223591,1
426419,7226225,1
426414,7226264,1
426372,7226645,1
424581,7236163,1
423891,7238260,1
423592,7239584,1
423892,7240840,1
423927,7240982,1
424250,7243364,1
424449,7245284,1
424424,7246302,1
424354,7246542,1
424210,7248814,1
424250,7249142,1
424494,7251148,1
424515,7251316,1
424798,7253591,1
424952,7254820,1
425104,7256038,1
425128,7256298,1
425006,7257121,1
424774,7257929,1
424570,7261300,1
420908,7266241,1
419483,7268521,1
418872,7270113,1
418565,7272086,1
417116,7274153,1
416859,7274930,1
414573,7279281,1
414066,7279728,1
413733,7280047,1
413402,7280458,1
412943,7281074,1
412058,7282825,1
411632,7283167,1
411591,7283182,1
411132,7283356,1
407929,7283883,1
405828,7284531,1
404702,7284673,1
404512,7284752,1
404414,7284794,1
402991,7285289,1
402487,7285297,1
401715,7285302,1
401640,7285307,1
401234,7285366,1
400725,7285467,1
399404,7285633,1
398868,7285562,1
398769,7285542,1
398558,7285501,1
398086,7285453,1
396594,7285921,1
396577,7285925,1
396103,7286001,1
392764,7288496,1
390333,7290479,1
390255,7290572,1
390204,7290636,1
390155,7290669,1
390133,7290697,1
389845,7291200,1
388785,7295353,1
388709,7296550,1
388660,7296595,1
388284,7296991,1
388055,7297247,1
387083,7298655,1
385424,7302015,1
385547,7302374,1
388001,7307576,1
389125,7309997,1
389204,7310375,1
390389,7312315,1
393625,7317791,1
394286,7319482,1
395381,7321596,1
396655,7325304,1
397858,7327525,1
